Country,Year,Average female percentage,Gap,Index
Romania,2013,0.4524797943745196,0.04752020562548043,0.9049595887490391
Romania,2014,0.4471499984123666,0.05285000158763342,0.8942999968247332
Romania,2015,0.43750090356654625,0.06249909643345375,0.8750018071330925
Romania,2016,0.4397397738192778,0.06026022618072219,0.8794795476385556
Romania,2017,0.4072653539778638,0.09273464602213621,0.8145307079557276
Romania,2018,0.4024559558149067,0.09754404418509333,0.8049119116298133
Romania,2019,0.43779253631948545,0.06220746368051455,0.8755850726389709
Romania,2020,0.40237588439866584,0.09762411560133416,0.8047517687973317
Romania,2021,0.43109899513189376,0.06890100486810624,0.8621979902637875
Romania,2022,0.42558077718720083,0.07441922281279917,0.8511615543744017
Slovakia,2013,0.4288023823356007,0.0711976176643993,0.8576047646712014
Slovakia,2014,0.42563375792893793,0.07436624207106207,0.8512675158578759
Slovakia,2015,0.42304524990854087,0.07695475009145913,0.8460904998170817
Slovakia,2016,0.4207159222220513,0.07928407777794871,0.8414318444441026
Slovakia,2017,0.42968968892127907,0.07031031107872093,0.8593793778425581
Slovakia,2018,0.42279838589065294,0.07720161410934706,0.8455967717813059
Slovakia,2019,0.42773862042488126,0.07226137957511874,0.8554772408497625
Slovakia,2020,0.45717259108813607,0.04282740891186393,0.9143451821762721
Slovakia,2021,0.47098195576287327,0.029018044237126728,0.9419639115257465
Slovakia,2022,0.4785794954338329,0.02142050456616712,0.9571589908676658
Slovenia,2013,0.4352336480292178,0.06476635197078218,0.8704672960584356
Slovenia,2014,0.4372020620747279,0.06279793792527211,0.8744041241494558
Slovenia,2015,0.4248930693420064,0.07510693065799362,0.8497861386840128
Slovenia,2016,0.43993769437944624,0.06006230562055376,0.8798753887588925
Slovenia,2017,0.431886961266614,0.06811303873338598,0.863773922533228
Slovenia,2018,0.42502817230767126,0.07497182769232874,0.8500563446153425
Slovenia,2019,0.4357443080314331,0.0642556919685669,0.8714886160628662
Slovenia,2020,0.4394018218972032,0.060598178102796774,0.8788036437944065
Slovenia,2021,0.37572962448181324,0.12427037551818676,0.7514592489636265
Slovenia,2022,0.38550828845030805,0.11449171154969195,0.7710165769006161
Spain,2013,0.32837726850413346,0.17162273149586654,0.6567545370082669
Spain,2014,0.33528338597896934,0.16471661402103066,0.6705667719579387
Spain,2015,0.3341570019351797,0.16584299806482028,0.6683140038703594
Spain,2016,0.33085160864461,0.16914839135539,0.66170321728922
Spain,2017,0.3335521862950951,0.1664478137049049,0.6671043725901902
Spain,2018,0.3356082675551867,0.1643917324448133,0.6712165351103734
Spain,2019,0.3357296122358978,0.1642703877641022,0.6714592244717956
Spain,2020,0.33689322135063915,0.16310677864936085,0.6737864427012783
Spain,2021,0.3405070248166996,0.1594929751833004,0.6810140496333992
Spain,2022,0.3444253540269893,0.15557464597301068,0.6888507080539786
Sweden,2013,0.3763874824238105,0.12361251757618952,0.752774964847621
Sweden,2014,0.37702991198289276,0.12297008801710724,0.7540598239657855
Sweden,2015,0.37172476283632255,0.12827523716367745,0.7434495256726451
Sweden,2016,0.36696233153565055,0.13303766846434945,0.7339246630713011
Sweden,2017,0.3680294499671006,0.13197055003289943,0.7360588999342011
Sweden,2018,0.3626689362863293,0.1373310637136707,0.7253378725726586
Sweden,2019,0.36328851604552037,0.13671148395447963,0.7265770320910407
Sweden,2020,0.36698706245067575,0.13301293754932425,0.7339741249013515
Sweden,2021,0.3743969935338598,0.1256030064661402,0.7487939870677196
Sweden,2022,0.3739504912086222,0.12604950879137777,0.7479009824172445
