DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FI,2020,12.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2009,9.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2010,13.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2011,12.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2012,13.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2013,15.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2014,15.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2015,14.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2016,15.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2017,16.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2018,17.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2019,14.9,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,FR,2020,16.2,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2010,-4.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2013,0.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2014,-2.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2016,3.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2017,0.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2018,4.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2019,4.5,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HR,2020,4.9,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2009,2.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2010,-12.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2011,-18.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2012,-13.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2013,-26.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2014,-9.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2016,-22.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2017,5.1,b
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2018,16.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2019,2.1,b
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,HU,2020,-0.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IE,2011,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IE,2012,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IE,2013,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IE,2014,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IE,2018,5.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2010,-15.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2011,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2012,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2013,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2014,6.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2015,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2016,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2017,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2018,2.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2019,0.1,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,IT,2020,-2.6,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2009,5.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2010,1.2,b
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2011,2.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2012,3.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2013,6.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2014,4.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2015,5.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2016,6.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2017,7.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2018,6.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2019,3.4,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LT,2020,3.6,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2010,-4.2,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2014,9.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2015,11.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2016,11.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2017,6.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2018,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2019,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LU,2020,,c
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2010,12.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2011,,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2012,17.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2013,21.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2014,21.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2015,18.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2016,28.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2017,30.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2018,12.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2019,20.5,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,LV,2020,29.0,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2009,24.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2010,26.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2011,26.4,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2012,8.9,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2013,2.9,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2014,-9.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2015,-7.6,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2016,1.2,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2017,1.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2018,28.9,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2019,26.3,pu
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,MT,2020,21.5,pu
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2009,25.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2010,27.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2011,29.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2012,35.8,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2013,34.4,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2014,39.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2015,19.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2016,18.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2017,15.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2018,15.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2019,15,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,NL,2020,17.4,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2009,22.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2010,20.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2011,20.9,
