DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2010,35.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2011,36.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2012,37.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2013,38.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2014,37.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2015,38.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2016,41.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2017,43.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2018,45.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2019,43.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2020,41.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EE,2021,40.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2009,27.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2010,27.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2011,26.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2012,27.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2013,25.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2014,26.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2015,24.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2016,23.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2017,24.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2018,21.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2019,21.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2020,18.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EL,2021,18.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2009,41.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2010,40.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2011,39.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2012,37.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2013,35.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2014,34.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2015,33.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2016,31.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2017,31.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2018,30.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2019,30.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2020,27.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,ES,2021,29.9,d
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2009,37.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2010,37.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2011,37.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2012,37.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2013,36.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2014,36.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2015,36.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2016,36.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2017,36.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2018,36.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2019,36.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2020,35.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,EU27_2020,2021,36.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2009,49.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2010,47.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2011,48.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2012,50.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2013,51.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2014,51.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2015,52.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,FI,2016,52.5,
